1998,467,624,64,272,282,38,74,57,1509,3,130,3520
1999,514,669,25,272,369,31,130,67,1729,1,139,3946
2000,538,684,59,196,356,32,118,76,1740,3,167,3969
2001,390,460,44,135,297,25,83,82,1283,1,124,2924
2002,481,595,60,251,399,34,106,99,1775,1,139,3940
2003,595,636,43,236,400,27,113,138,1757,3,158,4106
2004,553,517,30,224,279,30,75,77,1614,1,159,3559
2005,504,404,43,198,253,52,111,66,1543,2,134,3310
2006,538,453,41,190,290,34,70,69,1787,1,90,3563
2007,603,506,29,240,314,42,72,72,1931,5,138,3952
2008,609,547,30,233,277,36,72,113,1749,1,130,3797
2009,480,448,24,154,203,24,53,82,1245,3,92,2808
2010,448,384,15,114,168,12,45,50,1126,2,73,2437
2011,399,337,18,118,114,25,35,41,840,0,89,2016
2012,424,290,13,162,108,15,30,63,727,6,92,1930
2013,341,202,11,109,77,19,34,54,835,2,70,1754
